job_title, company_name, job_type
Pet Portrait Artist / Digital Illustrator,Pawtasticpetprints -,Full Time
Graphic Designer Finalizer,Truepack -,Full Time
Graphic Designer,Yalla Consulting -,Full Time
Graphic Designer / Video editor ( Full Time ) - Nasr City,Confidential -,Full Time
UI UX Designer,Cloud Arch Technologies -,Part Time
Graphic Designer,Roza carpet -,Full Time
Senior 3D Graphic Designer,NewTech Company -,Full Time
Graphic Designer,Horizon Agency -,Full Time
Graphic Designer,Sync -,Full Time
Senior Graphic Designer,Healthy & Tasty -,Full Time
Graphic Designer - Video Editor,Blue Nile Boat Maadi  -,Part Time
Graphic designer,Exco Egypt -,Internship
Graphic Designer,Confidential -,Full Time
Graphic Designer,shoots soft ware -,Freelance / Project
Graphic Designer,BELLA DONNA FOR KITTING AND READY MADE GARMENTS -,Full Time
Pet Portrait Artist / Digital Illustrator,Pawtasticpetprints -,Full Time
Graphic Designer Finalizer,Truepack -,Full Time
Graphic Designer,Yalla Consulting -,Full Time
Graphic Designer / Video editor ( Full Time ) - Nasr City,Confidential -,Full Time
UI UX Designer,Cloud Arch Technologies -,Part Time
Graphic Designer,Roza carpet -,Full Time
Senior 3D Graphic Designer,NewTech Company -,Full Time
Graphic Designer,Horizon Agency -,Full Time
Graphic Designer,Sync -,Full Time
Senior Graphic Designer,Healthy & Tasty -,Full Time
Graphic Designer - Video Editor,Blue Nile Boat Maadi  -,Part Time
Graphic designer,Exco Egypt -,Internship
Graphic Designer,Confidential -,Full Time
Graphic Designer,shoots soft ware -,Freelance / Project
Graphic Designer,BELLA DONNA FOR KITTING AND READY MADE GARMENTS -,Full Time
